process,product,location,unit,value,input,source,year,stage,
"Gasoline, combusted in equipment",gasoline,RNA,L,1,FALSE,USLCI,2019,extraction and production,
"Gasoline, combusted in equipment","Gasoline, combusted in equipment",RNA,L,1,TRUE,USLCI,2019,extraction and production,
glass fiber,glass fiber,US,kg,1,FALSE,GREET2019,2019,background,material
glass fiber,calcium carbonate,US,kg,0.395,TRUE,GREET2019,2019,background,material
glass fiber,electricity,US,kWh,1.018,TRUE,GREET2019,2019,background,energy
glass fiber,kaolin,US,kg,0.327,TRUE,GREET2019,2019,background,material
glass fiber,"Natural gas, combusted in industrial boiler",US,m3,0.2969,TRUE,GREET2019,2019,background,energy
glass fiber,sand and gravel,US,kg,0.393,TRUE,GREET2019,2019,background,material
glass fiber,"Transport, combination truck, diesel powered",US,t*km,0.3562,TRUE,Ecoinvent3.7,2019,background,material
glass fiber,"Transport, light commercial truck, diesel powered, East North Central",US,t*km,0.011,TRUE,Ecoinvent3.7,2019,background,material
glass fiber,"Transport, train, diesel powered",US,t*km,0.0832,TRUE,Ecoinvent3.7,2019,background,material
landfilling,landfilling,RNA,kg,1,FALSE,REF 1,2019,landfill,material
landfilling,electricity,RNA,kWh,0.00188,TRUE,REF 1,2019,landfill,energy
landfilling,"transport, truck",RNA,t*km,0.1,TRUE,REF 1,2019,landfill,material
"Lignite coal, combusted in industrial boiler","coal, raw",RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Lignite coal, combusted in industrial boiler","Lignite coal, combusted in industrial boiler",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Limestone, at mine",lime,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Limestone, at mine","Limestone, at mine",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Liquefied petroleum gas, combusted in industrial boiler",liquefied petroleum gas,RNA,L,1,FALSE,USLCI,2019,extraction and production,
"Liquefied petroleum gas, combusted in industrial boiler","Liquefied petroleum gas, combusted in industrial boiler",RNA,L,1,TRUE,USLCI,2019,extraction and production,
"Lubricant feedstock, at refinery",lubricating oil,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Lubricant feedstock, at refinery","Lubricant feedstock, at refinery",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
muconic acid,muconic acid,US,kg,1,FALSE,MFI,2019,"PET, upcycling",material
muconic acid,ammonia,US,kg,0.0321,TRUE,MFI,2019,"PET, upcycling",material
muconic acid,ammonium sulfate,US,kg,0.0007,TRUE,MFI,2019,"PET, upcycling",material
muconic acid,"corn steep liquor, 50%",US,kg,0.0691,TRUE,MFI,2019,"PET, upcycling",material
muconic acid,corn stover,US,kg,2.6556,TRUE,MFI,2019,"PET, upcycling",material
muconic acid,diammonium phosphate,US,kg,0.0918,TRUE,MFI,2019,"PET, upcycling",material
muconic acid,electricity,US,kWh,0.5679,TRUE,MFI,2019,"PET, upcycling",energy
muconic acid,glucose,US,kg,0.0997,TRUE,MFI,2019,"PET, upcycling",material
muconic acid,lime,US,kg,0.0091,TRUE,MFI,2019,"PET, upcycling",material
muconic acid,magnesium sulfate,US,kg,0.0007,TRUE,MFI,2019,"PET, upcycling",material
muconic acid,potassium sulfate,US,kg,0.0007,TRUE,MFI,2019,"PET, upcycling",material
muconic acid,sodium hydroxide,US,kg,0.8823,TRUE,MFI,2019,"PET, upcycling",material
muconic acid,sulfur dioxide,US,kg,0.0014,TRUE,MFI,2019,"PET, upcycling",material
muconic acid,sulfuric acid,US,kg,1.0073,TRUE,MFI,2019,"PET, upcycling",material
muconic acid,water,US,kg,24.7442,TRUE,MFI,2019,"PET, upcycling",material
"natural gas, combusted in boiler",natural gas,US,m3,1,FALSE,USLCI,2019,Thik ache,energy
"natural gas, combusted in boiler","Natural gas, combusted in industrial boiler",RNA,m3,1,TRUE,USLCI,2019,extraction and production,energy
"polyester, unsaturated, post-consumer","polyester, unsaturated, post-consumer",US,kg,1,FALSE,MFI,2019,"PET, upcycling",material
"polyester, unsaturated, post-consumer",electricity,US,kWh,2.64E-07,TRUE,MFI,2019,"PET, upcycling",energy
"polyester, unsaturated, post-consumer",muconic acid,US,kg,0.1773,TRUE,MFI,2019,"PET, upcycling",material
"polyester, unsaturated, post-consumer",natural gas,US,m3,0.01884,TRUE,MFI,2019,"PET, upcycling",energy
"polyester, unsaturated, post-consumer",postconsumer PET,US,kg,0.8536,TRUE,MFI,2019,"PET, upcycling",material
"Polyethylene terephthalate, PET, virgin resin, at plant, kg","polyethylene terephthalate, pet, virgin resin",RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Polyethylene terephthalate, PET, virgin resin, at plant, kg","Polyethylene terephthalate, PET, virgin resin, at plant, kg",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Portland cement, at plant",cement,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Portland cement, at plant","Portland cement, at plant",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Petroleum refining, at refinery",residual fuel oil displaced,RNA,L,1,FALSE,USLCI,2019,PET residual oil displcaced,
"Petroleum refining, at refinery","Diesel, at refinery",RNA,L,1,TRUE,USLCI,2019,PET residual oil displcaced,
"residual oil, combusted in boiler",residual oil,RNA,L,1,FALSE,USLCI,2019,extraction and production,
"residual oil, combusted in boiler","Residual fuel oil, combusted in industrial boiler",RNA,L,1,TRUE,USLCI,2019,extraction and production,
"Sodium hydroxide; chlor-alkali average, membrane cell; at plant; 50% solution state",sodium hydroxide,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Sodium hydroxide; chlor-alkali average, membrane cell; at plant; 50% solution state","Sodium hydroxide; chlor-alkali average, membrane cell; at plant; 50% solution state",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Soybean oil, crude, degummed, at plant",corn oil,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Soybean oil, crude, degummed, at plant","Soybean oil, crude, degummed, at plant",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Steam, purchased by containerboard mills",steam,RNA,MJ,1,FALSE,USLCI,2019,extraction and production,
"Steam, purchased by containerboard mills","Steam, purchased by containerboard mills",RNA,MJ,1,TRUE,USLCI,2019,extraction and production,
"Steel, stainless 304, flat rolled coil",baling wire,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Steel, stainless 304, flat rolled coil","Steel, stainless 304, flat rolled coil",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Sulfuric acid, at plant",sulfuric acid,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Sulfuric acid, at plant","Sulfuric acid, at plant",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Transport, combination truck, diesel powered","transport, truck",RNA,t*km,1,FALSE,USLCI,2019,extraction and production,
"Transport, combination truck, diesel powered","Transport, combination truck, diesel powered",RNA,t*km,1,TRUE,USLCI,2019,extraction and production,
"Transport, refuse truck, diesel powered","transport, heavy truck",RNA,t*km,1,FALSE,USLCI,2019,extraction and production,
"Transport, refuse truck, diesel powered","Transport, refuse truck, diesel powered",RNA,t*km,1,TRUE,USLCI,2019,extraction and production,
"Unsaturated polyester, UPR, resin, at plant","polyester, unsaturated",RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Unsaturated polyester, UPR, resin, at plant","Unsaturated polyester, UPR, resin, at plant",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"Water, fresh",water,RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"Water, fresh","Water, fresh",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
"polyethylene terephthalate, pet, virgin resin, at plant, kg","PET, resin displaced by downcycling",RNA,kg,1,FALSE,USLCI,2019,extraction and production,
"polyethylene terephthalate, pet, virgin resin, at plant, kg","polyethylene terephthalate, pet, virgin resin, at plant, kg",RNA,kg,1,TRUE,USLCI,2019,extraction and production,
